Department,Year,Budget,Actual Expenditure,Personnel Costs,Operational Costs,Capital Expenditures,Overtime Costs,Travel and Training,Supplies and Materials,Maintenance Costs,Revenue Generated,Efficiency Metrics,Notes
IT,2024,208785,208785,37839,67999,18127,7087,193,18369,15283,99685,1.0626627794204477,Additional training expenses
IT,2023,157157,57176,71337,62158,37615,9996,18873,17346,14252,47018,0.5985056525657255,Additional training expenses
IT,2022,279408,279408,191276,39292,5487,19743,6401,18997,18785,64127,0.9675266769957691,Increased maintenance
Marketing,2024,82583,82583,40195,38082,20453,1730,1737,15750,8351,55965,1.0219510062845873,-
IT,2022,178792,178792,178920,44024,39515,14077,18445,16581,5460,78152,0.5358921779188498,-
HR,2022,129944,95177,109229,33461,21911,6618,9882,8443,18480,59198,0.5619804553210376,Additional training expenses
IT,2024,72369,72369,133251,15351,22551,6899,15246,23638,7117,18288,0.8941123869037638,-
HR,2022,229000,50997,132265,57031,21278,1029,6283,29686,11356,92060,0.7619053456322878,-
Operations,2024,427988,427988,191926,92628,25856,15128,11360,5022,6606,12225,0.9895738638143312,Additional training expenses
Marketing,2023,69510,69510,121986,49718,16931,411,19943,25200,18201,94683,0.8903818317697658,Additional training expenses
Operations,2022,62120,62120,70998,22777,27188,1981,15859,15155,19030,1752,0.521715125394183,High overtime costs
Operations,2023,149847,149847,51558,99856,5483,9539,7599,18074,5071,26313,0.9785749813609929,High overtime costs
HR,2023,148575,148575,22985,18308,5451,19854,10428,23091,18115,87191,0.6427425975623049,-
Operations,2022,441413,145287,81794,53441,9069,1305,14417,16274,19515,98841,0.718819891747562,Increased maintenance
HR,2024,317439,169574,63585,90865,18386,12478,3883,11715,11351,56734,1.0154725285293629,High overtime costs
IT,2022,70460,70460,60264,23882,12207,13246,19635,11053,17464,18774,1.0398773804663481,-
IT,2023,64963,64963,184398,14714,42165,4595,5053,25199,5706,26365,0.7420702128405,Increased maintenance
HR,2023,389260,389260,104816,53432,43439,17199,15233,5514,6928,74918,0.5624590339447956,High overtime costs
IT,2024,77328,77328,54022,91289,23157,11697,12124,27671,18171,83415,1.038770986957541,High overtime costs
Marketing,2022,396773,396773,166739,90166,27006,15422,19398,8039,7798,59531,1.1091471306611536,-
Operations,2023,174034,174034,38065,27658,14190,9668,1128,10861,14369,31972,1.1750185011421368,Additional training expenses
Marketing,2023,71605,71605,134382,79245,45180,5612,14716,24240,13345,38984,0.7224788378031168,Additional training expenses
Operations,2023,423045,242589,148145,87027,23449,2037,6865,23725,5029,20907,0.5866964596608778,Increased maintenance
IT,2024,225885,225885,107191,60808,46357,9522,14407,29900,18338,3370,1.1563624437642923,Additional training expenses
Marketing,2023,227443,227443,161078,49530,34678,11998,18080,11336,10071,66795,0.7798359834801584,-
IT,2023,158241,158241,91819,18834,19929,7086,8324,8362,8311,5826,0.5654737740408176,High overtime costs
Operations,2022,359742,54090,127158,24358,44100,1149,7407,29190,17018,53227,0.8491466701765316,Increased maintenance
HR,2022,241848,241848,196148,19872,12913,16390,7245,8490,11787,4695,0.6333671703185777,Additional training expenses
HR,2023,304289,304289,23143,68694,14995,1436,4665,23891,17978,32864,0.7486950787213406,High overtime costs
Marketing,2023,384402,352383,77505,97193,31727,3250,4220,29532,6874,78301,0.7242451945681848,-
IT,2022,353113,53743,163489,60321,6946,17078,11731,10167,19433,61930,1.1911008072134153,-
IT,2024,217984,80924,182372,83709,41183,14263,11180,8178,19661,98241,0.9476592739576136,High overtime costs
Marketing,2024,219446,191268,48896,26685,6394,19683,12494,28815,13428,58663,0.8442618763307146,-
HR,2024,253374,253374,70629,21333,7421,4843,11485,24708,15377,53653,0.8596266811939057,-
Operations,2024,112784,112784,178678,21356,25303,12433,311,22928,17917,90826,0.9228620814117521,High overtime costs
Marketing,2024,493098,155312,59916,50584,45113,11559,5434,27235,13809,84414,1.1109281625630414,Additional training expenses
Operations,2024,459144,381004,81330,61362,24467,4952,15567,16421,6571,4043,0.6021876012365946,Increased maintenance
HR,2024,71274,71274,27551,21344,45798,7842,15980,11172,12213,13586,0.9197431296436521,High overtime costs
IT,2024,179994,179994,120972,54619,29504,25,16785,26017,18927,70675,0.7255280329730192,High overtime costs
HR,2022,346560,274090,139623,91331,15980,2153,17980,14941,7437,32630,0.8999815461776421,Additional training expenses
Marketing,2024,267220,267220,133216,11943,6844,8019,121,27670,12531,49736,0.8624116617227413,Increased maintenance
IT,2024,242070,242070,87782,70217,39572,19873,750,23649,17647,47530,0.5209539261526235,-
Marketing,2024,412578,360939,85391,31021,46849,8523,16489,17880,5581,2897,0.9077252387540617,Additional training expenses
Marketing,2023,293768,293768,124957,18348,23887,5161,6934,13904,7254,2030,0.9964497043132718,Increased maintenance
HR,2022,472263,153976,143546,87286,23277,17028,9251,13258,10852,81205,0.6721997677196662,High overtime costs
Marketing,2022,486572,205183,145006,80921,42112,1852,12359,27671,5600,82513,0.5748080618285293,Increased maintenance
HR,2022,218206,163566,83411,26639,27975,7723,12855,10260,14170,14362,0.6481511193573988,Additional training expenses
IT,2024,363454,307443,93185,95030,24449,15706,19622,18657,19285,42636,0.9454890031041796,-
HR,2024,392902,169968,151960,74566,49601,10623,17628,9191,13706,72135,0.8281549402387962,Increased maintenance
IT,2023,193435,111600,147574,52011,24459,19968,9201,16381,19257,32879,1.1057133099379637,Increased maintenance
HR,2022,487779,100022,49424,28640,6259,3809,3282,21056,5809,93846,0.6994918930332616,High overtime costs
Operations,2024,342772,184271,61559,45402,23604,1311,2275,26283,19285,37238,0.7555685435717772,Increased maintenance
Operations,2022,119672,119672,31075,75088,18859,18278,765,6467,7485,79162,0.8696350855825099,High overtime costs
Marketing,2023,96246,96246,173771,70240,48798,11198,2715,26236,12398,25420,0.8220117940753044,Additional training expenses
HR,2023,454377,173323,199044,11891,30362,6238,17881,11101,6446,3078,0.8834329029179155,-
HR,2023,139110,139110,29950,38259,32943,7788,12138,12547,5468,66919,0.7184618385184809,Additional training expenses
IT,2022,314954,170278,156485,73021,26319,6977,11924,7760,5629,39489,0.6166697534415343,Increased maintenance
Marketing,2024,240932,240932,59305,38987,40215,6409,19222,11421,8382,3970,1.0623209543296626,Increased maintenance
HR,2024,258271,258271,23569,62616,40897,2070,5066,17648,11538,49513,0.5275066789068495,High overtime costs
Marketing,2023,121688,114541,86778,20683,12697,2656,489,6393,5113,70614,0.7587937642441933,High overtime costs
Operations,2024,377692,156968,122633,71083,28075,4134,6374,8693,6225,35579,0.5611813166655716,Additional training expenses
HR,2023,243435,64892,50085,19967,36360,3484,1935,17499,19798,51974,1.0154298984135344,Additional training expenses
HR,2022,323306,323306,116307,87664,33160,16797,2749,26762,19877,14006,0.7558592012211193,Additional training expenses
Marketing,2023,400002,74815,112174,50194,33735,10854,11488,23083,10483,58631,0.5210347920465879,-
HR,2022,123535,123535,56163,95873,36293,14544,11883,22504,17534,21279,0.5531127518413199,High overtime costs
Marketing,2023,450435,450435,69592,72661,8949,12309,9295,10329,6616,79477,0.6390190310487396,Additional training expenses
HR,2024,120864,120864,137431,97738,15659,6148,7464,22955,8317,79160,1.050840872495376,High overtime costs
IT,2024,184693,184693,28039,82307,13010,5791,12137,18065,12351,99209,1.0594318835576464,Additional training expenses
Marketing,2023,168371,164463,159270,53452,31769,17303,6286,20971,12580,90061,1.197628788698822,-
HR,2024,139792,139792,185426,22857,28823,17290,12995,19356,11416,98795,0.6686462986718308,High overtime costs
Operations,2024,225505,225505,23824,41301,21400,19594,4149,22112,9640,13715,0.5423059371165239,High overtime costs
HR,2024,307416,240732,70420,65900,45727,19103,5848,16696,10733,47480,0.6981915793856491,High overtime costs
Operations,2022,116188,116188,109535,41460,44009,11858,7656,21999,18588,41500,0.6251739982391402,High overtime costs
Operations,2024,236023,236023,23436,96923,19787,15002,2345,5370,15862,12607,0.9972715992407786,-
IT,2022,393862,393862,113550,59800,12906,4895,6680,11767,10618,47328,1.1784682714414276,Additional training expenses
Marketing,2023,288188,222343,191929,19832,18303,10556,8770,26722,9813,82375,0.6911175187658316,-
HR,2024,86558,86558,36057,57408,6266,17176,18082,26326,18065,98954,0.7300431579468182,High overtime costs
IT,2024,178938,178938,21310,22626,38246,9919,12787,14139,16260,91424,0.7457813202952529,Increased maintenance
HR,2024,196731,138757,146913,67872,8977,11419,10863,22503,7537,53664,1.099867630670479,-
Operations,2023,346557,346557,86013,94021,11068,12378,6984,14647,19550,85529,0.9046131885151393,Increased maintenance
Marketing,2022,322579,322579,80022,88959,49504,3725,5256,27715,8174,41763,1.1817834772725937,High overtime costs
HR,2022,300272,300272,159978,26802,36227,11558,6551,28403,12974,64266,0.9390135221349984,High overtime costs
HR,2024,497127,414929,160940,26333,17740,13057,16662,7422,15829,58141,0.9941175427357535,-
Operations,2023,78067,78067,38546,45120,27797,1360,1468,12590,7222,36152,0.5624170429529401,Increased maintenance
HR,2023,137794,137794,118812,32159,12791,2048,9132,18455,13021,37472,1.166176249370968,-
HR,2023,405967,73645,92855,34660,5485,6252,2318,19341,5051,32393,0.9396395435215931,-
Operations,2023,381368,245630,53149,66843,35695,11167,4536,14532,7344,59356,0.8641264620487208,-
IT,2023,51379,51379,133591,44519,42441,19580,5347,18541,19299,43800,0.7711826488486699,High overtime costs
Operations,2022,414691,414691,174756,94577,5337,205,14462,20481,15414,54879,0.5539350086957336,Additional training expenses
IT,2022,158541,158541,49858,54935,30436,11678,13581,14710,10064,65475,0.5933429036192587,Increased maintenance
Marketing,2022,470840,319915,65330,32507,20092,15185,18167,10825,11486,11254,0.5081866378482982,Additional training expenses
IT,2024,269499,269499,112203,81060,39771,19699,10067,11760,10830,64634,1.1990847392667954,Additional training expenses
IT,2023,164634,164634,45293,94271,6471,8814,3226,15151,9695,16102,1.0504027356969696,High overtime costs
Marketing,2024,303579,303579,76869,67223,49388,18061,11920,13902,9266,19029,1.0582163608547597,High overtime costs
IT,2023,440845,201460,110429,37675,32696,11479,15272,25954,16300,89036,1.0110631666969128,High overtime costs
Operations,2022,369889,369889,155701,27673,11489,11204,2819,5573,6658,21813,0.8388742294627027,-
IT,2024,495021,133251,25704,45470,12856,13839,3970,21891,12368,60978,0.5617380344809131,High overtime costs
Marketing,2022,153915,107042,152848,51603,33611,19396,10258,28119,10183,64739,0.5505883289793971,High overtime costs
Operations,2023,455732,365884,68281,94825,14365,11829,16808,7222,16749,2053,1.1414619658899117,High overtime costs
Marketing,2023,260494,246945,136972,41230,39373,10892,2105,29072,17742,19898,0.5002201163676926,High overtime costs
Marketing,2023,266915,97024,133532,24542,10664,1871,18854,22678,18014,98613,0.9893720012446194,Additional training expenses
HR,2022,179560,179560,182308,71407,28323,6934,15907,5787,18720,30617,0.9400048908707257,Additional training expenses
HR,2023,205915,106965,86780,63821,31455,19612,19275,9667,14078,80727,0.8508577416003187,High overtime costs
Marketing,2022,186984,186984,152405,45690,10379,2335,9875,23617,16245,21384,1.1824654109260369,Additional training expenses
Marketing,2024,202586,202586,75333,16654,49353,1725,11365,16357,15994,70657,0.6386898484733954,High overtime costs
Marketing,2023,268431,268431,178349,77557,7124,9306,3147,25034,15389,98067,1.0497005156120387,Increased maintenance
HR,2023,238104,238104,153005,95544,36536,5985,12253,17801,10621,87642,0.9723874342012735,-
HR,2023,472013,69995,184586,98264,9991,7216,13102,24633,9010,97029,1.1821022580618066,High overtime costs
IT,2024,187521,164587,109893,99698,11794,16544,7901,11071,5635,87414,1.1538502783346538,Additional training expenses
IT,2023,182797,182797,82958,37446,34218,1425,17558,21348,16206,48373,0.5899998961237688,-
Marketing,2022,393550,272700,157899,58484,36113,1733,19333,25420,18859,56791,0.7154015248794998,Additional training expenses
Operations,2022,59304,59304,50844,54078,41074,12607,10001,6709,17077,75342,1.0955600846683744,Increased maintenance
Operations,2023,175555,175555,134501,14225,32977,10603,234,21261,11421,9519,0.6600623535584027,Increased maintenance
HR,2023,456879,145149,111200,84745,33359,12152,4770,17167,15274,81977,0.7649776833898118,-
HR,2024,382464,144020,20792,91259,23043,15801,5128,17582,5174,34016,0.9381747066608723,Increased maintenance
HR,2024,144488,52673,190767,55487,27523,18906,8159,20590,14248,91561,0.894039749453476,High overtime costs
Marketing,2024,308490,308490,103187,78676,14070,16985,2474,26596,14940,29897,0.9484245918644739,Increased maintenance
Operations,2023,387735,387735,62510,21721,12199,9747,226,6510,15954,82437,0.9994417151061624,Additional training expenses
IT,2024,407188,73466,190209,12587,23703,13531,6160,27287,16660,83997,1.0101389932892977,High overtime costs
Marketing,2024,193748,193748,133104,49437,24267,13985,10802,16738,15493,90262,1.0162903177753138,Additional training expenses
IT,2022,337336,337336,59632,28989,19133,1520,10007,19374,13759,62584,1.1941737460391677,-
IT,2024,311602,100406,187862,42726,33571,2390,5357,29551,17610,6384,0.7496110901415637,-
Marketing,2022,467938,446904,103568,80540,31991,1117,17794,28936,11156,48898,0.5309304532012142,-
IT,2022,188518,119284,181957,89837,16579,7300,4764,8506,19385,36441,0.7442034100653504,Additional training expenses
Operations,2024,431448,285718,85214,51168,38355,9716,14589,27462,14975,37917,1.1381031502753933,Additional training expenses
IT,2022,447941,426723,64870,74669,24003,12459,10037,27816,12707,84433,0.55837221994869,-
Operations,2023,266669,63665,68110,83040,26871,6141,1337,8633,19951,6608,0.9528595520334748,Additional training expenses
Operations,2023,138207,70641,129414,81616,11223,19464,5420,22845,12009,17778,0.796213002823171,-
Operations,2024,238704,238704,156243,17408,19197,7939,16501,27298,7143,18089,1.1451009839862039,-
HR,2023,248017,85797,160661,14153,14387,4777,18252,11352,17630,42132,1.1500012804186905,Additional training expenses
IT,2022,123741,123741,38077,21055,42121,11432,18481,7171,11999,84341,1.0496712075138195,High overtime costs
Marketing,2023,66365,66365,84874,29760,31902,14271,1813,18262,15432,8791,0.5689642040469152,-
Marketing,2024,377936,377936,189299,27752,19839,3801,9779,29312,15750,96771,0.5173004702254352,Increased maintenance
IT,2024,245929,245929,166009,99729,40373,7057,11444,13594,6474,85424,0.5956130405294124,High overtime costs
HR,2022,297481,152339,29754,13800,40306,7510,2374,13475,10244,84219,0.7252767978303443,High overtime costs
HR,2024,196776,163431,45688,76573,18896,8099,1526,28190,12248,85935,0.6690023014382328,High overtime costs
Operations,2023,362719,282275,27048,40054,46525,15193,11759,27499,9102,50648,0.7588314191135729,High overtime costs
IT,2024,210974,210974,42568,71816,21198,16132,7087,13432,5329,39474,0.600153918236902,-
IT,2022,431785,333317,117583,36866,39524,18926,8793,9656,17370,44077,1.0267522043797868,-
Marketing,2024,282366,194294,168617,10992,33651,4450,3614,15387,18847,6771,1.0917075674750363,-
IT,2023,444411,231136,114449,33696,37636,14549,2149,13892,7673,56858,0.8415667873307401,Increased maintenance
HR,2022,300319,218082,65217,70282,39128,6960,19685,7670,9622,29278,1.169568723751702,-
IT,2023,365661,303301,199194,83541,32144,16583,8579,9360,10232,16238,0.5842411149546094,-
Marketing,2022,84012,68095,184818,62838,23757,6996,14015,7548,11583,25010,0.5740697251888651,Increased maintenance
Operations,2024,192487,173554,159781,39400,38963,18567,19666,23710,5889,2658,0.6402794058126726,-
Marketing,2022,482750,444655,147873,92277,23515,14201,2696,24180,13021,11891,1.1873387896786731,Additional training expenses
Marketing,2022,71686,71686,45358,27565,45777,5043,12626,12046,13953,35091,0.7915484682827074,Additional training expenses
Operations,2024,258270,258270,134064,49585,27027,7834,14519,7206,14215,35663,1.146874063877557,-
Marketing,2023,209815,209815,31023,44833,18792,19877,15314,10179,6680,67067,0.6414068279428657,High overtime costs
Marketing,2024,82161,82161,115387,22094,20777,9556,12025,20676,19354,76894,1.0922721980566872,-
IT,2022,297066,157181,179828,41280,24794,1852,1305,22994,19344,95942,0.7170128588206413,Increased maintenance
IT,2024,289689,272310,106728,56647,37544,16263,13439,21848,10951,81041,1.0140795829393752,High overtime costs
Operations,2022,314546,314546,198331,54378,23751,12629,716,25707,16448,31623,1.182123271635916,Increased maintenance
IT,2024,113190,113190,169911,29513,36023,1662,5758,10475,14253,33549,1.1531172507867713,Additional training expenses
IT,2024,296256,296256,47410,10154,24727,14734,11183,14681,11866,99729,1.0819296895857349,Increased maintenance
Marketing,2023,495767,226169,125696,38134,28665,7589,8505,11965,14095,68087,0.5351442836604813,-
HR,2022,325419,325419,31447,18678,36126,10650,2280,5798,5133,28062,0.9254389172859742,Additional training expenses
IT,2023,209254,103276,137954,16294,24481,16596,15080,24184,11064,76051,1.084813732377928,High overtime costs
HR,2022,64915,64915,106569,19574,30836,4655,19006,24624,6125,45381,0.7795286128651144,-
IT,2024,313053,313053,115894,45183,39101,8749,9079,8355,15156,98860,1.0118315640222004,Additional training expenses
IT,2022,426254,319072,33907,58747,28549,10797,18873,25313,18460,8704,0.5966792253941438,High overtime costs
Operations,2023,115908,115908,41637,76606,8336,19503,18306,17549,7039,11410,0.623735573902203,Additional training expenses
Operations,2023,177337,177337,189268,28638,13157,6645,6278,5859,9188,71974,0.9505966481885402,High overtime costs
Operations,2023,334764,221960,173441,67194,41155,11895,4029,29939,7849,22902,0.805977714166475,High overtime costs
HR,2022,84112,84112,153661,57553,42481,19075,3063,19334,16403,5786,0.6527758788319786,Increased maintenance
Marketing,2023,255123,224904,43560,36082,36567,1994,13313,19318,8366,36919,0.6980117925034443,-
IT,2023,52431,52431,23034,26306,42869,14866,8352,12688,7911,78735,0.9332430496340905,High overtime costs
IT,2023,136590,59404,151241,17807,7431,15122,10379,15337,18061,71629,1.0077595502794652,High overtime costs
IT,2024,374319,374319,112449,98760,38784,16858,10543,16023,7591,48353,0.6453299159252048,Increased maintenance
HR,2024,167472,167472,23239,61342,22025,8233,3892,17870,9283,28691,1.1686357862033394,High overtime costs
Operations,2022,344768,163187,23415,42143,25446,10843,18121,10022,15375,31902,0.5057250948948785,High overtime costs
Marketing,2022,257193,257193,96944,68414,13507,3992,9562,12584,9261,23118,0.9900435913498726,Additional training expenses
HR,2023,111264,77684,154556,34715,38208,4823,3395,11402,16740,5016,0.7037004526896289,-
Operations,2024,425910,118591,73987,72054,22522,3517,16359,19852,12134,39277,0.8349602127079013,Increased maintenance
HR,2023,213030,213030,38225,82934,30490,2268,2454,19274,5244,21327,0.8988929328630146,Increased maintenance
Marketing,2023,444911,258794,100459,22202,43011,16006,15828,23158,18494,91364,0.8930652842122592,High overtime costs
Operations,2024,412355,314826,40936,37987,40071,17323,4957,24749,10128,41684,1.0433943835451092,High overtime costs
HR,2024,169502,161186,59612,45740,35413,4438,18671,29398,18747,83226,1.0766815730330062,Increased maintenance
Marketing,2024,493148,481262,115533,86848,19040,11501,6292,20970,14371,87158,0.5513445518049794,High overtime costs
IT,2022,280395,280395,140877,95890,43718,6298,8696,13342,9925,14202,0.9921062398321155,High overtime costs
Marketing,2022,356369,71832,122269,63871,12046,19369,11959,18792,11831,82146,0.7793402457684088,Additional training expenses
IT,2023,182475,66997,59952,23627,44374,13128,12812,12425,19449,97303,1.073012489836226,Increased maintenance
HR,2022,255463,255463,78945,61069,41189,11319,9595,16412,6778,53949,0.9262232598247137,High overtime costs
Operations,2024,219708,90491,25380,50409,23462,14722,9959,8021,11310,74035,0.5071655019033343,-
Operations,2024,322983,113043,100821,90635,43871,4989,15383,9237,15727,60353,0.9665255604581648,High overtime costs
HR,2022,285706,285706,178332,71486,25534,6028,8892,11394,13628,55864,1.147997168599364,Additional training expenses
Operations,2023,228901,178568,183951,11611,39968,13626,19389,20293,15462,91629,0.5581678322264766,Additional training expenses
Operations,2023,190302,190302,167215,41657,25935,12325,12313,25201,11334,32054,0.8459615091895822,Increased maintenance
IT,2022,101977,101977,69744,28462,45995,8422,10,18194,10906,42804,0.938097454514779,Additional training expenses
HR,2023,483448,178131,182650,86309,14009,18883,13095,19979,15016,70744,0.6371044866140213,Additional training expenses
Marketing,2023,425194,95520,100262,99299,6946,10673,5221,22144,19911,72978,0.9554840861433138,-
IT,2023,275864,275864,77331,48547,41724,13512,15471,9451,13985,43628,0.5348589214781031,Additional training expenses
HR,2024,75651,75651,112551,39063,45483,14472,3677,9627,17460,86668,1.1339754814957415,High overtime costs
IT,2024,147919,114442,83815,92273,8325,14900,11011,7739,14472,72581,1.033857693815762,Additional training expenses
Marketing,2022,352107,311025,91519,89397,13699,2903,15105,28823,14930,49015,1.1587164258924805,-
Marketing,2024,236944,202842,170250,62788,8745,7763,7334,15209,13641,7624,0.7928984967302093,Increased maintenance
HR,2023,167776,167776,112526,52523,49837,10960,11984,26932,12668,83699,0.5239426898832632,-
Marketing,2024,391342,228570,129365,40284,35794,11084,5164,11791,6954,78720,0.7390738614187305,High overtime costs
IT,2022,194811,194811,56366,97964,29544,10275,9033,29300,19412,56215,0.8610260848291418,High overtime costs
Marketing,2024,180697,173447,119830,73996,26198,2074,14889,28229,13806,82505,1.1551103125314082,Increased maintenance
IT,2023,375438,111477,61911,76247,18489,7825,284,11867,17513,78085,1.1181465407211717,-
IT,2023,229428,50244,103422,23706,27474,2065,6543,14108,12393,62639,0.915850254124708,-
Marketing,2022,51789,51789,73619,20924,23420,3208,5570,8943,13930,63891,1.0108265765004998,Increased maintenance
HR,2024,462636,391597,195368,25921,7677,4674,18819,20523,6631,31973,1.1677288045425827,Increased maintenance
Operations,2024,401441,227561,42791,35432,39512,9094,7523,8460,10036,22091,1.095414114723282,Increased maintenance
Marketing,2024,286974,286974,28301,27813,16175,14137,11023,6492,17363,21826,0.9611735765263785,Increased maintenance
IT,2023,311413,311413,146866,75250,48318,15310,12712,8621,8665,12982,0.8780386098457744,High overtime costs
IT,2022,218678,218678,123623,78956,47191,9245,1029,13918,13260,6420,0.8332285333271814,High overtime costs
Marketing,2024,481856,60247,132824,12068,6177,122,19350,18842,15066,44770,1.0296268233443087,Increased maintenance
HR,2023,430485,250123,186851,49927,5761,17340,7755,18053,19750,4031,1.0661411106301601,Additional training expenses
HR,2023,94135,94135,56894,80342,42546,17370,553,26402,11874,60068,0.6523508014283866,Increased maintenance
IT,2023,87067,87067,99618,40539,11458,9443,16651,29546,19697,39128,0.831817579140089,Additional training expenses
IT,2024,329501,257358,90994,21683,25110,4433,14203,28134,5869,83767,1.0398068825900815,Additional training expenses
HR,2024,220923,220923,61770,95151,47503,990,1240,26225,14585,92349,0.9729952487376334,-
Operations,2024,350406,189148,42300,45674,33253,5556,4159,14131,16662,37607,0.9141037745388303,Additional training expenses
Marketing,2024,257925,257925,138025,62703,23317,14650,18873,28852,19125,72887,0.7266085689104049,Additional training expenses
IT,2024,370787,196123,180557,68810,33433,4709,10780,21471,8191,82162,0.9264530827218799,Additional training expenses
IT,2024,464750,447530,140605,96111,12179,3580,8661,21946,8119,2100,0.9285011297431878,High overtime costs
HR,2024,403414,78670,60285,95343,19849,19186,3287,6268,7115,74977,0.80270321499808,-
Marketing,2024,213944,213944,137713,95977,9444,18588,18403,14682,12252,1737,1.172209804436319,-
HR,2024,450905,60236,183543,97114,7964,871,10215,10561,17157,96817,0.957184968508024,Additional training expenses
Marketing,2023,119103,85568,68671,21117,46990,19208,9781,27429,5376,10110,1.0954879359279313,High overtime costs
Marketing,2024,398412,157327,138216,13665,17811,14592,15951,16271,18696,64259,0.5902707241817902,Increased maintenance
Marketing,2022,136310,136310,40270,54390,15067,12922,5313,9654,15515,17776,1.0297457130171197,High overtime costs
IT,2023,87412,87412,139870,84884,44992,19787,15047,24555,16007,8439,0.9213085033032221,-
Operations,2024,359878,328496,147897,73887,15472,10383,10252,12512,6941,89563,0.7157941928723299,Additional training expenses
HR,2022,399937,175721,164770,58266,20126,5550,4317,29236,5204,26507,0.5954534733369099,High overtime costs
Operations,2024,251002,251002,92265,65541,8101,12774,9611,7800,13936,53168,0.7657530240497818,Additional training expenses
HR,2022,72228,72228,190801,74802,31990,3207,838,28230,16328,77836,0.8089640170486205,Increased maintenance
Marketing,2022,170627,170627,31171,17882,41665,3097,8461,26422,12054,52584,0.59853385264852,High overtime costs
IT,2022,390068,206228,80684,80825,8678,19462,13922,14449,10948,28960,0.9690888210508843,Increased maintenance
Operations,2022,61319,61319,69948,23910,39611,19022,4827,26272,12246,53678,0.7149767565058476,Increased maintenance
IT,2023,56475,56475,54725,50566,35729,11278,12903,17764,14741,40552,1.0642276150267531,-
HR,2023,278163,278163,39450,73073,34035,19330,19887,26164,9420,28560,0.9538441441014552,-
IT,2022,195800,195800,164372,46176,20958,19855,14400,15611,7425,51233,0.7173516909629867,Additional training expenses
IT,2024,291382,291382,145900,93081,29250,1624,2075,6143,16056,9539,0.7520137298628728,Increased maintenance
Operations,2022,341689,341689,104600,40289,12083,15968,17696,11703,8973,79398,1.1595032931314744,Increased maintenance
Marketing,2023,408780,316320,155513,60411,26756,11149,16279,16357,17968,53888,1.163683664377057,-
IT,2024,279484,150459,131315,79626,6466,9717,14190,15806,5670,97759,0.7928595867533126,Increased maintenance
Marketing,2023,242828,242828,170404,25362,5339,17866,18668,22131,19963,11815,0.9754190554843023,High overtime costs
HR,2023,249847,235922,40115,97610,49547,16642,15084,12094,8417,1854,1.1859805254735765,Increased maintenance
IT,2024,481915,187901,119405,23783,26103,13640,12533,27829,8065,43904,1.1958359055381775,Increased maintenance
Operations,2022,480037,173225,107404,54162,22088,16837,14723,21158,6727,22434,0.5504939579918073,-
HR,2022,342759,285847,193069,45749,8724,8990,15264,21219,10976,37845,0.8874493968229078,-
HR,2022,325890,271738,164687,13554,45957,18895,16246,18763,19770,38108,1.0086320716918054,Additional training expenses
Operations,2022,203817,203817,165804,68568,26643,4170,14601,8488,9026,66141,0.6308062789036893,-
IT,2024,313389,160893,176439,28773,31044,5136,19192,17217,12862,45666,1.0753335164151778,High overtime costs
IT,2024,167408,167408,130670,83694,15334,1712,8995,14337,16124,78907,0.8279180401375923,Increased maintenance
HR,2024,162143,162143,62738,76550,38320,2002,14563,7104,11064,14976,0.8484261127505377,Additional training expenses
IT,2023,468069,292726,152053,56295,41259,8151,11934,25240,8814,49283,0.6920261318923543,Increased maintenance
Marketing,2024,339776,339776,101666,40331,5789,15670,12675,10119,6703,78216,0.7101033342348705,-
Operations,2022,325000,246914,104351,55640,38941,6254,6521,26642,16278,56223,0.5589212320232508,Increased maintenance
Marketing,2023,237965,237965,159638,74877,5552,19711,6355,18510,12621,94788,1.1520611916756334,Increased maintenance
IT,2022,282298,231880,30728,56969,24806,10473,4771,24152,16456,6157,0.7673067461373777,High overtime costs
HR,2022,118049,118049,125852,52986,41979,15303,2696,25443,18544,55730,0.6135610150470248,Increased maintenance
Operations,2024,370326,56611,103911,17585,13823,19495,12458,6808,12430,96729,0.5996482945675095,High overtime costs
IT,2024,446017,400386,137616,14122,36980,13761,13463,26864,9541,30870,0.7851842683252969,Increased maintenance
IT,2022,278953,278953,56214,26838,5860,8918,5796,5409,5053,81581,0.9425455291559475,-
HR,2022,260503,260503,65588,27301,5290,1831,808,5645,5691,88533,1.0444474845352367,Additional training expenses
HR,2023,220821,220821,170025,33107,47417,1821,10343,22935,11066,29016,1.1472234406475963,-
Marketing,2024,254829,254829,88408,67357,19344,1816,3293,18926,17291,44227,0.9449914336725085,Additional training expenses
Operations,2023,367798,186343,54103,98161,10870,15878,9497,26746,13448,96799,0.794463227336371,Increased maintenance
Operations,2023,252646,252646,90949,65211,38397,16475,3459,6113,8432,87112,0.7953625238545355,-
HR,2023,367525,367525,171228,76025,44775,3432,18803,24971,5833,86209,0.9020638731818142,High overtime costs
Marketing,2022,108601,108601,33423,76520,21186,18353,4224,21445,15721,95800,0.8766286271483614,-
Operations,2023,196154,196154,58062,27344,43711,15482,7571,23111,10794,98278,0.9485702250697066,High overtime costs
HR,2023,195720,192645,193877,67202,37265,18768,14171,9592,19796,2676,0.8523873002805418,Increased maintenance
IT,2022,312508,202481,21987,24959,26016,3679,15323,19391,16088,1215,0.541293596193334,Increased maintenance
